booking_id,customer_id,driver_id,city,booking_date,day_of_week,weekend_flag,category,distance_km,trip_type,airport_flag,base_fare,per_km_rate,surge_multiplier,surge_reason,total_trip_cost,driver_earning,company_revenue,ride_status,cancellation_reason,payment_type,customer_rating,weather_condition,traffic_level,holiday_flag,booking_time,waiting_time,trip_duration_min
B1700,C122,D38,Bangalore,2025-02-25,Tuesday,0,Prime,13.36,Long,1,60.00,15.00,1.79,Rain,466.12,349.59,116.53,Cancelled_Driver,Other,Wallet,0.0,Rain,Medium,0,04:57:54,00:15:00,00:39:52
B290,C5,D221,Chennai,2025-01-20,Monday,0,Mini,1.00,Short,0,40.00,10.00,1.00,None,50.00,37.50,12.50,Cancelled_Driver,"No Show",UPI,0.0,Clear,Medium,0,09:47:26,00:06:00,00:03:38
B1106,C127,D22,Chennai,2025-01-04,Saturday,1,SUV,17.44,Long,1,100.00,20.00,1.52,"Peak Hour",682.18,511.63,170.54,Completed,"Not Cancelled",Card,3.8,Clear,Low,0,06:53:46,00:14:00,01:03:28
B255,C461,D100,Chennai,2025-03-27,Thursday,0,Auto,3.36,Medium,1,30.00,8.00,1.00,None,56.88,42.66,14.22,Completed,"Not Cancelled",Wallet,4.2,Storm,Medium,0,02:34:32,00:06:00,00:11:36
B60,C196,D293,Chennai,2025-01-10,Friday,0,Auto,24.70,Long,1,30.00,8.00,1.80,Rain,409.68,307.26,102.42,Cancelled_Customer,"Driver Late",Card,0.0,Rain,Medium,0,14:52:13,00:05:00,01:04:11
B30,C249,D123,Chennai,2025-02-26,Wednesday,0,SUV,20.93,Long,0,100.00,20.00,1.35,Rain,700.11,525.08,175.03,Completed,"Not Cancelled",Wallet,4.6,Rain,Medium,0,19:06:22,00:14:00,01:04:47
B910,C28,D22,Hyderabad,2025-01-26,Sunday,1,Mini,24.56,Long,1,40.00,10.00,1.25,"Peak Hour",357.00,267.75,89.25,Completed,"Not Cancelled",Card,4.5,Clear,Medium,0,08:35:07,00:07:00,01:19:58
B354,C257,D138,Mumbai,2025-02-28,Friday,0,SUV,14.25,Long,1,100.00,20.00,1.00,None,385.00,288.75,96.25,Completed,"Not Cancelled",Card,3.5,Clear,Medium,0,16:53:25,00:13:00,00:41:20
B713,C289,D56,Chennai,2025-01-03,Friday,0,SUV,23.83,Long,0,100.00,20.00,1.00,None,576.60,432.45,144.15,Completed,"Not Cancelled",Card,3.7,Clear,Medium,0,15:59:01,00:09:00,01:24:01
B66,C213,D51,Mumbai,2025-01-05,Sunday,1,SUV,3.79,Medium,0,100.00,20.00,2.04,Holiday,358.63,268.97,89.66,Completed,"Not Cancelled",Wallet,3.3,Clear,Medium,1,09:14:20,00:13:00,00:09:22
B1484,C372,D300,Mumbai,2025-02-06,Thursday,0,Prime,24.31,Long,0,60.00,15.00,1.41,Rain,598.76,449.07,149.69,Cancelled_Driver,"Driver Late",UPI,0.0,Rain,Medium,0,21:09:32,00:11:00,01:26:05
B1351,C402,D107,Delhi,2025-02-13,Thursday,0,Auto,20.11,Long,0,30.00,8.00,1.00,None,190.88,143.16,47.72,Completed,"Not Cancelled",UPI,3.6,Clear,Medium,0,09:18:26,00:10:00,01:07:41
B974,C89,D81,Bangalore,2025-03-15,Saturday,1,Mini,11.25,Long,1,40.00,10.00,1.64,"Peak Hour",250.10,187.57,62.52,Completed,"Not Cancelled",Cash,3.6,Rain,Medium,0,08:43:29,00:12:00,00:30:21
B1545,C251,D250,Hyderabad,2025-02-08,Saturday,1,Auto,1.18,Short,1,30.00,8.00,1.30,"Peak Hour",51.27,38.45,12.82,Completed,"Not Cancelled",Cash,4.2,Clear,Medium,0,17:26:18,00:07:00,00:02:43
B257,C101,D135,Hyderabad,2025-03-03,Monday,0,SUV,9.61,Medium,0,100.00,20.00,1.00,None,292.20,219.15,73.05,Cancelled_Customer,"Changed Plan",Cash,0.0,Clear,Medium,0,14:35:08,00:10:00,00:25:05
B629,C368,D144,Mumbai,2025-03-12,Wednesday,0,Auto,12.21,Long,1,30.00,8.00,1.00,None,127.68,95.76,31.92,Completed,"Not Cancelled",Cash,4.7,Clear,Medium,0,20:28:35,00:12:00,00:44:11
B125,C371,D294,Hyderabad,2025-01-12,Sunday,1,Mini,5.43,Medium,1,40.00,10.00,1.38,"Peak Hour",130.13,97.60,32.53,Completed,"Not Cancelled",Card,3.6,Storm,Low,0,12:57:11,00:07:00,00:12:23
B353,C404,D218,Delhi,2025-01-10,Friday,0,Mini,4.46,Medium,1,40.00,10.00,1.00,None,84.60,63.45,21.15,Completed,"Not Cancelled",UPI,3.9,Storm,Low,0,20:35:26,00:15:00,00:16:49
B299,C36,D272,Bangalore,2025-03-11,Tuesday,0,SUV,5.55,Medium,1,100.00,20.00,1.00,None,211.00,158.25,52.75,Completed,"Not Cancelled",Wallet,4.1,Clear,Medium,0,22:00:23,00:15:00,00:13:10
B856,C326,D152,Delhi,2025-01-23,Thursday,0,Auto,4.45,Medium,0,30.00,8.00,1.31,Rain,85.94,64.45,21.48,Completed,"Not Cancelled",Wallet,3.3,Rain,Medium,0,06:28:29,00:05:00,00:13:43
B189,C53,D72,Hyderabad,2025-01-19,Sunday,1,Prime,24.24,Long,0,60.00,15.00,1.95,Holiday,826.02,619.51,206.50,Completed,"Not Cancelled",Cash,3.2,Rain,Low,1,02:54:18,00:05:00,01:07:41
B409,C93,D182,Mumbai,2025-02-06,Thursday,0,Mini,24.37,Long,0,40.00,10.00,1.79,Traffic,507.82,380.87,126.95,Completed,"Not Cancelled",Wallet,4.9,Storm,High,0,05:16:29,00:12:00,00:53:33
B1324,C350,D183,Hyderabad,2025-01-16,Thursday,0,Mini,19.94,Long,1,40.00,10.00,1.77,Traffic,423.74,317.81,105.94,Completed,"Not Cancelled",Wallet,3.9,Clear,High,0,12:03:34,00:14:00,00:55:13
B1556,C143,D296,Chennai,2025-03-28,Friday,0,Auto,23.33,Long,1,30.00,8.00,1.00,None,216.64,162.48,54.16,Completed,"Not Cancelled",Card,3.3,Storm,Low,0,12:05:46,00:08:00,01:04:40
B553,C322,D207,Bangalore,2025-03-28,Friday,0,Mini,3.31,Medium,0,40.00,10.00,1.00,None,73.10,54.82,18.27,Completed,"Not Cancelled",Cash,4.9,Storm,Low,0,05:21:17,00:08:00,00:13:04
B1202,C271,D201,Bangalore,2025-03-14,Friday,0,Mini,4.39,Medium,1,40.00,10.00,1.90,Traffic,159.41,119.56,39.85,Completed,"Not Cancelled",Card,4.7,Clear,High,0,01:05:39,00:08:00,00:15:15
B57,C36,D121,Chennai,2025-03-25,Tuesday,0,Auto,21.46,Long,1,30.00,8.00,1.00,None,201.68,151.26,50.42,Completed,"Not Cancelled",UPI,3.1,Storm,Medium,0,02:52:24,00:10:00,01:19:48
B945,C33,D243,Mumbai,2025-02-25,Tuesday,0,Mini,11.92,Long,1,40.00,10.00,1.53,Traffic,243.58,182.69,60.90,Completed,"Not Cancelled",Wallet,4.9,Clear,High,0,23:45:57,00:12:00,00:40:59
B612,C351,D217,Chennai,2025-01-19,Sunday,1,Prime,8.68,Medium,1,60.00,15.00,1.98,"Peak Hour",376.60,282.45,94.15,Completed,"Not Cancelled",Card,4.9,Clear,High,0,20:57:00,00:02:00,00:17:54
B1606,C405,D157,Chennai,2025-03-26,Wednesday,0,Auto,8.22,Medium,1,30.00,8.00,1.00,None,95.76,71.82,23.94,Completed,"Not Cancelled",Cash,4.5,Storm,Medium,0,20:41:57,00:02:00,00:30:46
B1293,C133,D13,Delhi,2025-03-31,Monday,0,SUV,7.13,Medium,1,100.00,20.00,2.41,Holiday,584.67,438.50,146.17,Completed,"Not Cancelled",UPI,3.6,Clear,Medium,1,09:11:15,00:06:00,00:22:11
B1692,C95,D51,Bangalore,2025-03-26,Wednesday,0,Auto,11.96,Long,1,30.00,8.00,1.92,Traffic,241.31,180.98,60.33,Completed,"Not Cancelled",Wallet,4.5,Clear,High,0,10:32:29,00:10:00,00:41:39
B1711,C396,D86,Mumbai,2025-01-11,Saturday,1,Auto,14.81,Long,0,30.00,8.00,1.31,"Peak Hour",194.51,145.88,48.63,Completed,"Not Cancelled",Wallet,3.4,Clear,Low,0,23:41:10,00:13:00,00:48:56
B232,C381,D296,Delhi,2025-03-29,Saturday,1,Prime,12.59,Long,1,60.00,15.00,1.20,"Peak Hour",298.62,223.97,74.66,Cancelled_Customer,Other,UPI,0.0,Clear,Low,0,23:12:51,00:14:00,00:37:28
B694,C312,D56,Hyderabad,2025-03-07,Friday,0,SUV,22.70,Long,1,100.00,20.00,1.40,Rain,775.60,581.70,193.90,Cancelled_Customer,"High Fare",Cash,0.0,Rain,Low,0,16:19:07,00:11:00,01:01:29
B1660,C442,D178,Bangalore,2025-02-01,Saturday,1,Prime,10.21,Long,0,60.00,15.00,1.28,"Peak Hour",272.83,204.62,68.21,Cancelled_Customer,"Driver Late",Card,0.0,Clear,Medium,0,23:34:49,00:11:00,00:33:05
B252,C201,D280,Chennai,2025-02-15,Saturday,1,Mini,7.96,Medium,0,40.00,10.00,1.88,"Peak Hour",224.85,168.64,56.21,Completed,"Not Cancelled",UPI,3.3,Clear,High,0,16:58:21,00:05:00,00:26:50
B1119,C215,D281,Bangalore,2025-02-27,Thursday,0,Auto,3.41,Medium,1,30.00,8.00,1.21,Rain,69.31,51.98,17.33,Completed,"Not Cancelled",Card,3.4,Rain,Medium,0,17:01:49,00:14:00,00:11:01
B545,C355,D171,Bangalore,2025-01-04,Saturday,1,Auto,22.66,Long,0,30.00,8.00,2.42,Holiday,511.30,383.48,127.83,Completed,"Not Cancelled",Cash,3.2,Rain,Medium,1,05:50:35,00:09:00,01:20:03
B573,C102,D246,Chennai,2025-02-15,Saturday,1,SUV,1.14,Short,0,100.00,20.00,1.37,"Peak Hour",168.24,126.18,42.06,Completed,"Not Cancelled",Cash,3.3,Clear,Low,0,23:24:33,00:02:00,00:04:17
B1742,C312,D11,Mumbai,2025-03-25,Tuesday,0,SUV,7.16,Medium,1,100.00,20.00,1.00,None,243.20,182.40,60.80,Completed,"Not Cancelled",Card,4.5,Clear,Medium,0,10:11:47,00:12:00,00:20:28
B586,C370,D196,Chennai,2025-02-22,Saturday,1,Auto,8.79,Medium,0,30.00,8.00,2.04,Holiday,204.65,153.49,51.16,Cancelled_Driver,Other,UPI,0.0,Rain,Low,1,19:13:16,00:03:00,00:18:35
B1314,C173,D148,Delhi,2025-01-16,Thursday,0,SUV,19.58,Long,0,100.00,20.00,1.00,None,491.60,368.70,122.90,Completed,"Not Cancelled",UPI,3.6,Clear,Medium,0,03:53:26,00:05:00,01:00:34
B1569,C183,D297,Delhi,2025-03-03,Monday,0,Mini,11.46,Long,1,40.00,10.00,2.07,Holiday,320.02,240.01,80.00,Completed,"Not Cancelled",UPI,3.8,Clear,High,1,22:11:16,00:15:00,00:25:22
B1191,C75,D24,Bangalore,2025-01-15,Wednesday,0,Mini,16.12,Long,1,40.00,10.00,1.85,Traffic,372.22,279.17,93.06,Completed,"Not Cancelled",Cash,3.5,Clear,High,0,19:28:27,00:04:00,00:44:34
B1334,C285,D265,Chennai,2025-02-28,Friday,0,Prime,10.20,Long,0,60.00,15.00,1.67,Traffic,355.71,266.78,88.93,Cancelled_Driver,"No Show",Cash,0.0,Clear,High,0,21:16:32,00:04:00,00:23:42
B1552,C466,D126,Delhi,2025-02-23,Sunday,1,SUV,3.01,Medium,0,100.00,20.00,1.58,"Peak Hour",253.12,189.84,63.28,Completed,"Not Cancelled",UPI,3.7,Clear,Low,0,07:51:48,00:15:00,00:07:44
B744,C92,D218,Delhi,2025-02-24,Monday,0,Mini,15.49,Long,1,40.00,10.00,1.89,Traffic,368.36,276.27,92.09,Cancelled_Driver,"Driver Late",Wallet,0.0,Clear,High,0,08:50:34,00:14:00,00:55:50
B1165,C126,D134,Bangalore,2025-01-29,Wednesday,0,Auto,20.32,Long,1,30.00,8.00,1.56,Traffic,300.39,225.29,75.10,Completed,"Not Cancelled",Cash,3.5,Storm,High,0,06:25:17,00:10:00,01:16:42
B825,C407,D207,Hyderabad,2025-03-20,Thursday,0,SUV,23.29,Long,1,100.00,20.00,1.47,Traffic,831.73,623.80,207.93,Completed,"Not Cancelled",Card,4.0,Rain,High,0,10:48:52,00:15:00,01:12:06
B1245,C469,D7,Hyderabad,2025-03-21,Friday,0,SUV,7.29,Medium,0,100.00,20.00,1.00,None,245.80,184.35,61.45,Completed,"Not Cancelled",Cash,4.6,Clear,Medium,0,19:38:45,00:09:00,00:27:02
B772,C474,D227,Chennai,2025-03-22,Saturday,1,Mini,24.45,Long,1,40.00,10.00,1.65,"Peak Hour",469.42,352.06,117.36,Completed,"Not Cancelled",UPI,3.6,Clear,High,0,14:47:28,00:12:00,01:35:08
B74,C247,D115,Hyderabad,2025-03-13,Thursday,0,Auto,17.08,Long,1,30.00,8.00,1.85,Holiday,308.28,231.21,77.07,Completed,"Not Cancelled",Card,3.3,Rain,Medium,1,01:52:47,00:05:00,00:48:11
B585,C453,D282,Chennai,2025-01-07,Tuesday,0,Prime,24.75,Long,0,60.00,15.00,1.00,None,431.25,323.44,107.81,Completed,"Not Cancelled",UPI,4.9,Clear,Medium,0,20:38:22,00:03:00,00:59:53
B1037,C50,D122,Mumbai,2025-02-28,Friday,0,Auto,20.86,Long,0,30.00,8.00,1.69,Rain,332.73,249.55,83.18,Completed,"Not Cancelled",Wallet,4.9,Rain,Medium,0,03:14:43,00:15:00,00:50:10
B1226,C159,D157,Bangalore,2025-02-25,Tuesday,0,SUV,13.86,Long,1,100.00,20.00,1.52,Rain,573.34,430.00,143.34,Completed,"Not Cancelled",Cash,3.1,Rain,Low,0,17:25:39,00:10:00,00:55:12
B1138,C57,D173,Bangalore,2025-01-01,Wednesday,0,Prime,5.37,Medium,1,60.00,15.00,1.45,Rain,203.80,152.85,50.95,Completed,"Not Cancelled",UPI,3.2,Rain,Low,0,02:08:05,00:02:00,00:20:25
B508,C390,D77,Mumbai,2025-03-19,Wednesday,0,Auto,1.20,Short,1,30.00,8.00,1.55,Rain,61.38,46.04,15.35,Completed,"Not Cancelled",UPI,4.3,Rain,Medium,0,04:47:01,00:09:00,00:03:07
B1697,C416,D23,Chennai,2025-03-20,Thursday,0,Prime,7.10,Medium,1,60.00,15.00,1.00,None,166.50,124.88,41.62,Completed,"Not Cancelled",Cash,4.8,Storm,Low,0,15:15:33,00:04:00,00:16:55
B163,C390,D113,Chennai,2025-01-18,Saturday,1,SUV,24.13,Long,1,100.00,20.00,1.38,"Peak Hour",803.99,602.99,201.00,Completed,"Not Cancelled",Cash,3.1,Clear,Medium,0,06:45:51,00:11:00,01:12:39
B908,C478,D291,Mumbai,2025-01-16,Thursday,0,Auto,16.33,Long,1,30.00,8.00,1.00,None,160.64,120.48,40.16,Completed,"Not Cancelled",Card,4.4,Clear,Medium,0,23:02:06,00:09:00,00:39:23
B1108,C89,D143,Chennai,2025-03-31,Monday,0,Mini,13.35,Long,1,40.00,10.00,1.00,None,173.50,130.12,43.38,Completed,"Not Cancelled",Card,3.7,Clear,Medium,0,20:10:57,00:08:00,00:45:47
B375,C4,D92,Hyderabad,2025-03-12,Wednesday,0,SUV,6.85,Medium,0,100.00,20.00,1.84,Traffic,436.08,327.06,109.02,Completed,"Not Cancelled",Card,3.2,Clear,High,0,05:22:42,00:09:00,00:21:40
B1542,C81,D51,Mumbai,2025-01-11,Saturday,1,Prime,13.61,Long,1,60.00,15.00,1.57,"Peak Hour",414.72,311.04,103.68,Completed,"Not Cancelled",Card,3.2,Clear,High,0,10:32:21,00:11:00,00:33:23
B355,C265,D41,Delhi,2025-01-05,Sunday,1,SUV,17.92,Long,1,100.00,20.00,1.41,"Peak Hour",646.34,484.75,161.59,Cancelled_Customer,"High Fare",Cash,0.0,Storm,Low,0,01:46:16,00:09:00,00:39:54
B307,C71,D136,Chennai,2025-02-08,Saturday,1,Prime,21.54,Long,1,60.00,15.00,1.43,"Peak Hour",547.83,410.87,136.96,Completed,"Not Cancelled",UPI,3.7,Storm,Medium,0,07:06:49,00:09:00,00:44:01
B1420,C241,D4,Mumbai,2025-03-26,Wednesday,0,Mini,15.26,Long,1,40.00,10.00,1.41,Traffic,271.57,203.68,67.89,Completed,"Not Cancelled",Wallet,4.2,Storm,High,0,03:24:10,00:05:00,00:42:50
B1729,C400,D122,Delhi,2025-03-04,Tuesday,0,SUV,17.82,Long,1,100.00,20.00,1.66,Holiday,757.62,568.22,189.41,Completed,"Not Cancelled",Wallet,4.2,Clear,Low,1,17:45:02,00:07:00,00:41:59
B1183,C109,D191,Hyderabad,2025-03-13,Thursday,0,Prime,18.22,Long,0,60.00,15.00,1.56,Traffic,519.95,389.96,129.99,Cancelled_Customer,Other,Wallet,0.0,Clear,High,0,21:26:01,00:07:00,01:00:40
B495,C431,D100,Delhi,2025-03-01,Saturday,1,Mini,9.15,Medium,0,40.00,10.00,1.24,"Peak Hour",163.06,122.30,40.77,Completed,"Not Cancelled",UPI,4.2,Clear,Medium,0,13:33:44,00:03:00,00:35:28
B362,C302,D100,Delhi,2025-03-20,Thursday,0,Auto,9.04,Medium,0,30.00,8.00,1.00,None,102.32,76.74,25.58,Completed,"Not Cancelled",Card,4.5,Clear,Medium,0,20:49:37,00:05:00,00:22:55
B603,C289,D248,Hyderabad,2025-01-21,Tuesday,0,Mini,2.57,Short,1,40.00,10.00,1.74,Holiday,114.32,85.74,28.58,Completed,"Not Cancelled",Cash,4.1,Clear,Low,1,17:23:46,00:11:00,00:08:13
B394,C410,D290,Mumbai,2025-01-19,Sunday,1,Auto,4.75,Medium,1,30.00,8.00,1.59,"Peak Hour",108.12,81.09,27.03,Completed,"Not Cancelled",Card,4.3,Clear,Low,0,14:15:48,00:11:00,00:18:43
B1474,C135,D23,Chennai,2025-02-26,Wednesday,0,Mini,9.58,Medium,1,40.00,10.00,1.00,None,135.80,101.85,33.95,Completed,"Not Cancelled",Card,4.6,Clear,Medium,0,21:50:05,00:13:00,00:31:29
B1275,C215,D107,Mumbai,2025-02-22,Saturday,1,Mini,24.41,Long,0,40.00,10.00,1.40,"Peak Hour",397.74,298.31,99.44,Completed,"Not Cancelled",UPI,3.3,Clear,Medium,0,08:46:22,00:06:00,01:35:51
B1547,C120,D43,Mumbai,2025-02-15,Saturday,1,Auto,1.06,Short,0,30.00,8.00,1.49,"Peak Hour",57.34,43.01,14.34,Cancelled_Driver,"Changed Plan",Wallet,0.0,Clear,Low,0,19:37:50,00:13:00,00:03:04
B1475,C79,D117,Chennai,2025-03-07,Friday,0,Prime,3.51,Medium,0,60.00,15.00,1.00,None,112.65,84.49,28.16,Cancelled_Customer,"Driver Late",Cash,0.0,Clear,Medium,0,17:26:22,00:14:00,00:07:34
B1667,C433,D67,Chennai,2025-01-18,Saturday,1,Auto,22.63,Long,1,30.00,8.00,1.42,"Peak Hour",299.68,224.76,74.92,Completed,"Not Cancelled",Cash,4.9,Clear,High,0,22:41:34,00:06:00,01:21:16
B539,C385,D4,Delhi,2025-03-23,Sunday,1,Mini,8.04,Medium,1,40.00,10.00,1.39,"Peak Hour",167.36,125.52,41.84,Completed,"Not Cancelled",Cash,3.1,Clear,Low,0,05:40:33,00:02:00,00:22:09
B465,C410,D267,Chennai,2025-01-11,Saturday,1,Auto,10.64,Long,1,30.00,8.00,1.75,"Peak Hour",201.46,151.09,50.37,Completed,"Not Cancelled",Wallet,5.0,Clear,High,0,10:21:45,00:12:00,00:37:43
B417,C338,D284,Delhi,2025-01-05,Sunday,1,Prime,14.36,Long,1,60.00,15.00,1.39,"Peak Hour",382.81,287.11,95.70,Completed,"Not Cancelled",Wallet,4.4,Rain,Low,0,01:56:46,00:11:00,00:53:26
B679,C429,D18,Chennai,2025-02-09,Sunday,1,Prime,3.95,Medium,0,60.00,15.00,1.51,"Peak Hour",180.07,135.05,45.02,Cancelled_Driver,"Driver Late",Card,0.0,Clear,Low,0,23:57:36,00:09:00,00:13:38
B1042,C167,D163,Hyderabad,2025-01-06,Monday,0,Auto,9.94,Medium,0,30.00,8.00,1.00,None,109.52,82.14,27.38,Cancelled_Customer,"Driver Late",UPI,0.0,Clear,Low,0,04:03:38,00:14:00,00:24:26
B527,C163,D21,Delhi,2025-02-17,Monday,0,Auto,5.85,Medium,0,30.00,8.00,1.94,Holiday,148.99,111.74,37.25,Cancelled_Customer,"Changed Plan",Wallet,0.0,Clear,Medium,1,15:43:18,00:06:00,00:16:06
B271,C33,D135,Bangalore,2025-01-13,Monday,0,SUV,19.87,Long,0,100.00,20.00,1.36,Traffic,676.46,507.35,169.12,Completed,"Not Cancelled",Card,3.9,Clear,High,0,06:16:34,00:11:00,01:11:34
B887,C267,D54,Delhi,2025-03-11,Tuesday,0,Prime,21.43,Long,0,60.00,15.00,1.73,Rain,659.91,494.93,164.98,Cancelled_Driver,Other,Cash,0.0,Rain,Medium,0,20:55:16,00:02:00,01:07:27
B863,C67,D272,Chennai,2025-01-19,Sunday,1,SUV,20.29,Long,0,100.00,20.00,1.32,"Peak Hour",667.66,500.75,166.91,Completed,"Not Cancelled",Card,3.2,Storm,Medium,0,07:43:44,00:11:00,00:57:29
B907,C409,D237,Delhi,2025-03-27,Thursday,0,Prime,19.44,Long,0,60.00,15.00,1.61,Rain,566.08,424.56,141.52,Completed,"Not Cancelled",UPI,3.6,Rain,Medium,0,21:11:53,00:10:00,01:13:30
B906,C211,D143,Chennai,2025-02-06,Thursday,0,Prime,8.51,Medium,0,60.00,15.00,1.00,None,187.65,140.74,46.91,Cancelled_Customer,Other,Wallet,0.0,Clear,Medium,0,19:31:04,00:12:00,00:32:26
B276,C196,D113,Bangalore,2025-03-30,Sunday,1,SUV,14.52,Long,1,100.00,20.00,1.43,"Peak Hour",558.27,418.70,139.57,Completed,"Not Cancelled",Card,3.5,Storm,Medium,0,14:28:45,00:03:00,00:51:24
B1799,C156,D182,Mumbai,2025-03-14,Friday,0,SUV,10.09,Long,1,100.00,20.00,1.00,None,301.80,226.35,75.45,Completed,"Not Cancelled",Cash,3.2,Clear,Low,0,01:24:46,00:03:00,00:30:34
B1790,C499,D36,Delhi,2025-03-08,Saturday,1,Mini,21.27,Long,1,40.00,10.00,1.49,"Peak Hour",376.52,282.39,94.13,Completed,"Not Cancelled",Wallet,4.9,Storm,Medium,0,02:09:46,00:06:00,01:17:31
B1290,C193,D12,Bangalore,2025-01-24,Friday,0,Auto,19.13,Long,0,30.00,8.00,1.00,None,183.04,137.28,45.76,Completed,"Not Cancelled",UPI,4.8,Clear,Medium,0,06:49:33,00:09:00,00:43:41
B1622,C112,D236,Mumbai,2025-01-07,Tuesday,0,SUV,6.49,Medium,0,100.00,20.00,1.00,None,229.80,172.35,57.45,Cancelled_Customer,"High Fare",Wallet,0.0,Clear,Medium,0,23:12:32,00:09:00,00:21:01
B479,C31,D167,Bangalore,2025-02-23,Sunday,1,Auto,10.17,Long,0,30.00,8.00,1.51,"Peak Hour",168.15,126.11,42.04,Completed,"Not Cancelled",Cash,4.4,Clear,Low,0,00:13:29,00:08:00,00:22:11
B174,C64,D197,Chennai,2025-02-26,Wednesday,0,Prime,16.07,Long,1,60.00,15.00,1.00,None,301.05,225.79,75.26,Cancelled_Customer,"Changed Plan",Wallet,0.0,Clear,Medium,0,11:36:28,00:14:00,00:37:01
B1395,C235,D187,Bangalore,2025-03-26,Wednesday,0,Prime,8.16,Medium,1,60.00,15.00,1.00,None,182.40,136.80,45.60,Cancelled_Driver,"Changed Plan",Cash,0.0,Clear,Medium,0,21:13:11,00:05:00,00:27:03
B50,C46,D162,Chennai,2025-03-02,Sunday,1,SUV,9.00,Medium,0,100.00,20.00,1.58,"Peak Hour",442.40,331.80,110.60,Completed,"Not Cancelled",Card,3.1,Clear,Medium,0,11:34:35,00:10:00,00:30:04
B1594,C457,D276,Delhi,2025-03-14,Friday,0,Prime,11.74,Long,1,60.00,15.00,1.00,None,236.10,177.07,59.02,Cancelled_Customer,Other,Cash,0.0,Storm,Medium,0,22:36:37,00:12:00,00:32:48
B1567,C207,D265,Chennai,2025-03-08,Saturday,1,Mini,7.59,Medium,1,40.00,10.00,1.28,"Peak Hour",148.35,111.26,37.09,Completed,"Not Cancelled",Wallet,3.2,Clear,Medium,0,20:24:46,00:02:00,00:24:59
B1081,C262,D256,Delhi,2025-02-23,Sunday,1,Auto,12.36,Long,0,30.00,8.00,1.56,"Peak Hour",201.05,150.79,50.26,Completed,"Not Cancelled",Card,4.9,Rain,Medium,0,15:53:09,00:03:00,00:27:02
B1194,C290,D219,Delhi,2025-03-30,Sunday,1,Auto,21.59,Long,1,30.00,8.00,1.28,"Peak Hour",259.48,194.61,64.87,Completed,"Not Cancelled",UPI,5.0,Clear,Medium,0,01:24:16,00:08:00,00:44:37
B116,C10,D226,Chennai,2025-01-07,Tuesday,0,SUV,5.09,Medium,1,100.00,20.00,1.00,None,201.80,151.35,50.45,Cancelled_Driver,"Driver Late",Wallet,0.0,Clear,Medium,0,18:23:33,00:05:00,00:16:35
